origin,destination,volume
1,1,99.0
1,3,60.0
1,4,52.0
1,9,180.0
1,11,507.0
1,13,21.0
1,16,698.0
1,20,78.0
1,23,259.0
1,33,76.0
1,39,1164.0
3,1,50.0
3,9,104.0
3,16,76.0
3,39,836.0
4,1,695.0
4,4,235.0
4,9,667.0
4,16,180.0
4,21,627.0
4,33,132.0
4,39,895.0
5,9,627.0
5,24,85.0
6,6,78.0
6,9,337.0
6,16,314.0
7,9,491.0
8,14,393.0
8,21,651.0
8,24,114.0
9,3,412.0
9,4,1596.0
9,5,1470.0
9,6,3389.0
9,7,627.0
9,9,20332.0
9,10,78.0
9,11,12961.0
9,13,5075.0
9,14,4663.0
9,16,5699.0
9,19,131.0
9,20,941.0
9,23,1558.0
9,24,1550.0
9,28,126.0
9,32,5243.0
9,33,1562.0
9,37,2507.0
9,39,154.0
9,54,347.0
9,62,1176.0
10,9,694.0
10,16,76.0
10,20,46.0
10,24,67.0
10,33,151.0
11,1,1299.0
11,3,21.0
11,4,799.0
11,6,346.0
11,8,491.0
11,9,6012.0
11,10,139.0
11,11,3716.0
11,13,13280.0
11,14,2395.0
11,16,5378.0
11,19,1545.0
11,20,1104.0
11,21,843.0
11,23,85.0
11,24,1665.0
11,31,627.0
11,33,1893.0
11,37,104.0
11,39,872.0
11,52,492.0
11,54,492.0
11,62,222.0
13,1,9375.0
13,4,263.0
13,5,521.0
13,6,502.0
13,8,968.0
13,9,6792.0
13,11,14955.0
13,13,21009.0
13,14,2568.0
13,16,8772.0
13,17,85.0
13,19,2036.0
13,20,1057.0
13,21,1549.0
13,23,3314.0
13,24,6651.0
13,33,863.0
13,37,283.0
13,39,3073.0
13,46,159.0
14,1,1556.0
14,6,269.0
14,8,858.0
14,9,6607.0
14,11,5082.0
14,13,8710.0
14,14,7706.0
14,16,4766.0
14,20,305.0
14,23,2174.0
14,24,1165.0
14,28,198.0
14,33,584.0
14,34,451.0
14,37,327.0
14,39,366.0
14,61,181.0
14,62,269.0
15,9,90.0
15,11,78.0
15,13,106.0
15,20,90.0
16,1,3163.0
16,3,312.0
16,4,208.0
16,5,226.0
16,9,2884.0
16,10,21.0
16,11,3485.0
16,13,5950.0
16,14,982.0
16,15,143.0
16,16,9897.0
16,17,190.0
16,19,139.0
16,20,2872.0
16,23,1160.0
16,24,1883.0
16,26,132.0
16,28,971.0
16,31,1183.0
16,32,646.0
16,33,2511.0
16,34,355.0
16,37,720.0
16,39,1076.0
16,54,224.0
16,59,586.0
16,61,211.0
17,13,455.0
17,16,640.0
17,23,228.0
19,1,265.0
19,6,66.0
19,11,435.0
19,13,3330.0
19,14,228.0
19,16,312.0
19,20,310.0
19,23,94.0
19,24,1075.0
19,33,88.0
19,37,213.0
19,52,169.0
20,9,1393.0
20,11,1057.0
20,13,322.0
20,14,49.0
20,15,248.0
20,16,3858.0
20,19,94.0
20,20,772.0
20,23,8231.0
20,24,1222.0
20,33,501.0
20,39,1502.0
21,8,1221.0
21,13,1416.0
21,16,309.0
21,19,829.0
21,23,1589.0
21,24,1738.0
21,33,106.0
21,37,1221.0
23,1,2166.0
23,5,198.0
23,9,1841.0
23,11,781.0
23,13,7725.0
23,14,2654.0
23,16,5120.0
23,19,580.0
23,20,9975.0
23,23,5355.0
23,24,1081.0
23,31,106.0
23,32,226.0
23,33,262.0
23,34,1076.0
23,37,135.0
23,39,1812.0
23,41,113.0
23,49,181.0
23,54,147.0
24,1,1473.0
24,3,147.0
24,5,37.0
24,6,444.0
24,8,213.0
24,9,1281.0
24,11,4690.0
24,13,13910.0
24,14,1879.0
24,15,90.0
24,16,2780.0
24,17,663.0
24,19,3545.0
24,20,2077.0
24,21,682.0
24,23,99.0
24,24,6272.0
24,28,166.0
24,37,230.0
24,38,114.0
24,39,954.0
24,61,66.0
28,9,67.0
28,14,106.0
28,16,847.0
28,24,19.0
28,28,396.0
28,33,78.0
31,16,396.0
31,24,151.0
31,33,112.0
32,16,391.0
32,20,526.0
33,1,874.0
33,4,132.0
33,6,93.0
33,9,1075.0
33,10,122.0
33,11,2355.0
33,13,2100.0
33,14,352.0
33,16,3078.0
33,17,248.0
33,20,374.0
33,23,265.0
33,24,186.0
33,28,123.0
33,31,70.0
33,33,919.0
33,37,169.0
33,39,97.0
34,16,76.0
37,9,604.0
37,11,261.0
37,13,106.0
37,14,209.0
37,16,131.0
37,19,114.0
37,21,651.0
37,33,107.0
37,39,139.0
39,1,726.0
39,3,1228.0
39,4,755.0
39,9,122.0
39,10,52.0
39,11,1065.0
39,13,4897.0
39,14,414.0
39,16,1052.0
39,20,1755.0
39,23,661.0
39,24,174.0
39,33,97.0
39,37,104.0
39,39,104.0
40,24,66.0
41,16,113.0
54,14,181.0
54,16,159.0
54,20,78.0
54,39,52.0
59,16,136.0
59,24,94.0
61,14,181.0
61,24,225.0
62,9,627.0
62,11,25.0
62,33,51.0
