,attraction_calibration
zone_0,4517.0
zone_1,105390.0
zone_10,155.0
zone_11,0.0
zone_12,0.0
zone_13,7761.0
zone_14,0.0
zone_15,0.0
zone_16,0.0
zone_17,0.0
zone_18,0.0
zone_19,1210.0
zone_2,0.0
zone_20,5105.0
zone_21,0.0
zone_22,28287.0
zone_23,0.0
zone_24,2397.0
zone_25,0.0
zone_26,0.0
zone_27,0.0
zone_28,0.0
zone_29,0.0
zone_3,2901.0
zone_30,79671.0
zone_31,1509.0
zone_32,9847.0
zone_33,0.0
zone_34,0.0
zone_35,48275.0
zone_36,41138.0
zone_37,2518.0
zone_38,201.0
zone_39,0.0
zone_4,2460.0
zone_40,318.0
zone_41,0.0
zone_42,22239.0
zone_43,47830.0
zone_44,43175.0
zone_45,1290.0
zone_46,135.0
zone_47,6502.0
zone_48,1134.0
zone_49,9910.0
zone_5,0.0
zone_50,3721.0
zone_51,1838.0
zone_52,11750.0
zone_53,72056.0
zone_54,3287.0
zone_55,22681.0
zone_56,141316.0
zone_57,5948.0
zone_6,2357.0
zone_7,0.0
zone_8,0.0
zone_9,5187.0
