index,car,pmv,truck,Note
rlink_7393,7342,2103,414,Waigani Market_SB
rlink_3602,6858,1942,283,Waigani Market_NB
rlink_7620,10727,3223,770,Waigani Tunnel_SB
rlink_831,9233,2955,629,Waigani Tunnel_NB
rlink_7711,8824,3436,720,Waigani Tunnel 2_SB
rlink_10810,8382,3236,505,Waigani Tunnel 2_NB
rlink_11134,10726,1622,1035,Waigani Freeway_SB
rlink_4764,10409,1849,1139,Waigani Freeway_NB
rlink_11782,8373,1113,752,Sunny Bunny_SB
rlink_11784,8945,1239,849,Sunny Bunny_NB
rlink_12404,13677,2002,1297,Gordons_SB
rlink_12395,11751,2086,1087,Gordons_NB
rlink_4699,8535,1675,797,SVS_SB
rlink_4968,8000,1678,914,SVS_NB
rlink_12309,9194,2577,1013,Koki Badili_SB
rlink_12325,8464,2441,922,Koki Badili_NB
rlink_10195,9933,1865,661,Konedobu_SB
rlink_4733,9796,1946,695,Konedobu_NB
rlink_12317,11606,2656,1334,Kennedy Estate_SB
rlink_5131,13087,3006,1444,Kennedy Estate_NB
rlink_5360,6538,2100,401,Six Mile Police Station_SB
rlink_9110,6023,1553,439,Six Mile Police Station_NB
rlink_10498,12559,4333,529,Vision City_SB
rlink_10414,10841,4281,630,Vision City_NB
rlink_4739,9233,2955,629,PNG Motors_EB
rlink_4759,10727,3223,770,PNG Motors_WB
rlink_87,4992,1433,395,Manu Market_EB
rlink_7071,8175,1852,407,Manu Market_WB
rlink_12298,5505,1212,375,Ela Beach_EB
rlink_11914,4822,956,386,Ela Beach_WB
rlink_9208,5371,1577,479,Tokarara_EB
rlink_12296,5016,1241,380,Tokarara_WB
rlink_988,15086,2265,1173,MRDC_EB
rlink_4768,14492,2691,1026,MRDC_WB
rlink_10730,2829,731,542,Kanudi_EB
rlink_5548,2906,919,443,Kanudi_WB
rlink_12354,11518,1902,837,National Archives_EB
rlink_12334,12037,2280,1248,National Archives_WB
rlink_10624,8702,2930,1003,Airport_EB
rlink_10625,7423,2077,537,Airport_WB
