destination,volumes_calibration
zone_bc_1,41138.0
zone_bc_10,2901.0
zone_bc_11,79671.0
zone_bc_13,141316.0
zone_bc_14,47830.0
zone_bc_15,2397.0
zone_bc_16,105390.0
zone_bc_17,2518.0
zone_bc_19,11750.0
zone_bc_2,135.0
zone_bc_20,28287.0
zone_bc_21,6502.0
zone_bc_23,43175.0
zone_bc_24,48275.0
zone_bc_26,1134.0
zone_bc_28,4517.0
zone_bc_3,2357.0
zone_bc_31,7761.0
zone_bc_32,9847.0
zone_bc_33,22239.0
zone_bc_34,3721.0
zone_bc_37,9910.0
zone_bc_38,1290.0
zone_bc_39,22681.0
zone_bc_4,5105.0
zone_bc_40,155.0
zone_bc_41,201.0
zone_bc_46,318.0
zone_bc_49,1509.0
zone_bc_5,3287.0
zone_bc_52,2460.0
zone_bc_54,1210.0
zone_bc_59,2065.0
zone_bc_6,5187.0
zone_bc_60,95.0
zone_bc_61,2053.0
zone_bc_62,1981.0
zone_bc_7,1838.0
zone_bc_8,5948.0
zone_bc_9,72056.0
