route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
EDA5,11481.69,6.0,3.0,9413,40,57.6,1697
EDA4,31492.69,6.0,6.0,18267,56,111.6,3290
EDA3,28493.24,6.0,6.0,17238,59,104.4,3104
EDA2,35147.87,6.0,6.0,17060,92,104.4,3073
EDA1,18097.53,6.0,4.0,12957,35,79.2,2333
R20,12789.23,12.0,8.0,13282,35,162.0,2391
R19,22517.51,12.0,5.0,6889,28,82.8,1242
R17,5202.92,12.0,4.0,5737,13,72.0,1032
R16,9802.5,12.0,7.0,11178,34,136.8,2015
R15,18370.82,12.0,9.0,14143,39,172.8,2548
R13,9182.76,12.0,4.0,6159,15,75.6,1110
R12,12243.0,12.0,6.0,8607,22,104.4,1550
R11,30385.78,12.0,10.0,15132,66,183.6,2727
R10,12562.71,12.0,3.0,4811,18,61.2,866
R09,15946.72,12.0,7.0,10664,35,129.6,1920
R07,10740.62,6.0,3.0,9352,28,57.6,1683
R06,6529.66,12.0,2.0,3147,15,39.6,567
Route 3,32543.07,12.0,8.0,11770,126,144.0,2117
R04,11100.78,12.0,3.0,4638,18,57.6,835
